0.42274, 0.10838, 0.02776, 0.00684, 0.00174, 0.00042, 0.00014, 4e-05, 0.0, 0.0, 
0.75458, 0.3612, 0.20572, 0.09142, 0.04988, 0.02066, 0.01186, 0.00494, 0.00266, 0.00116, 
0.91606, 0.65476, 0.46958, 0.31794, 0.20598, 0.1334, 0.0855, 0.05432, 0.03266, 0.02074, 
0.95076, 0.73072, 0.53976, 0.37542, 0.25112, 0.16404, 0.1048, 0.06778, 0.04242, 0.02702, 
0.97936, 0.83108, 0.66604, 0.50368, 0.36408, 0.25628, 0.17232, 0.11572, 0.07658, 0.04892, 
0.9932, 0.91448, 0.80156, 0.67504, 0.54126, 0.4238, 0.3162, 0.23236, 0.16802, 0.11866, 
0.9957, 0.93614, 0.84146, 0.72058, 0.58668, 0.46254, 0.3581, 0.26848, 0.198, 0.13906, 
0.99856, 0.96128, 0.89038, 0.7937, 0.67712, 0.56014, 0.44674, 0.34614, 0.26518, 0.19454, 
0.99946, 0.98036, 0.93854, 0.87276, 0.78738, 0.68502, 0.58134, 0.47952, 0.3853, 0.31202, 
0.9997, 0.98554, 0.95196, 0.89258, 0.81666, 0.7248, 0.62076, 0.51848, 0.42808, 0.3402, 
